receiver_context,target_clean,max_regulatory_potential,sum_regulatory_potential,n_supporting_glial_ligands,best_ligand,supporting_ligands_top5,celltype,logFC,PValue,FDR,direction,rank_in_vascular_receiver
Cerebrovascular cells,HSPA5,0.1443997208744724,0.5217115791278605,20,IGF1,IGF1:0.1444;VEGFA:0.1443;IL18:0.0768;JAM2:0.0151;IL1B:0.0136,Cerebrovascular cells,0.633512723250171,0.0138358665739037,0.908262525040509,AD-enriched_nominal,17
Cerebrovascular cells,TNFSF10,0.14261728368876653,0.9064065036015146,20,IL18,IL18:0.1426;IL1B:0.1276;VEGFA:0.1139;ANGPT1:0.0792;HGF:0.0747,Cerebrovascular cells,0.734186172108031,0.0437837522163984,0.908262525040509,AD-enriched_nominal,18
Cerebrovascular cells,ELK3,0.14246105780015933,0.2681394689421787,20,FGF2,FGF2:0.1425;JAM2:0.0101;IL1B:0.0096;IL18:0.0096;IGF1:0.0085,Cerebrovascular cells,0.466170284977584,0.00985649701003559,0.908262525040509,AD-enriched_nominal,19
Cerebrovascular cells,XBP1,0.13045750566465922,0.38219594164076276,20,IL1B,IL1B:0.1305;VEGFA:0.0806;IGF1:0.0491;IL18:0.0107;JAM2:0.0102,Cerebrovascular cells,0.682917574610969,0.00618949764959047,0.908262525040509,AD-enriched_nominal,20
Cerebrovascular cells,KBTBD2,0.12742548907157725,0.3538138889971844,20,EGF,EGF:0.1274;VEGFA:0.0798;ANGPT1:0.0673;IL1B:0.0071;JAM2:0.0069,Cerebrovascular cells,0.349350344068679,0.0162965884444901,0.908262525040509,AD-enriched_nominal,21
Cerebrovascular cells,TIMP1,0.12727574700908373,0.8764631227817862,20,FGF1,FGF1:0.1273;EGF:0.1026;HGF:0.0853;IL18:0.0748;IL1B:0.0734,Cerebrovascular cells,0.762336431429073,0.0115717082427079,0.908262525040509,AD-enriched_nominal,22
Cerebrovascular cells,GBP4,0.12289001395935215,0.4088081105897699,20,IL1B,IL1B:0.1229;PDGFC:0.0695;PDGFB:0.0553;VEGFA:0.0469;IL18:0.0136,Cerebrovascular cells,0.857110639090676,0.0146212412446658,0.908262525040509,AD-enriched_nominal,23
Cerebrovascular cells,CEMIP2,0.12013545279051777,0.36985493016655474,20,VEGFA,VEGFA:0.1201;PDGFB:0.0562;EGF:0.0439;IL1B:0.0127;IL18:0.0123,Cerebrovascular cells,0.362329658297538,0.0248938536611291,0.908262525040509,AD-enriched_nominal,24
Cerebrovascular cells,MT1M,0.11661822849679646,0.19858149125495217,20,IL1B,IL1B:0.1166;JAM2:0.0078;IL18:0.0062;FGF2:0.006;HGF:0.0054,Cerebrovascular cells,0.737142114571002,0.032785759834032,0.908262525040509,AD-enriched_nominal,25
Cerebrovascular cells,HPCAL1,0.11645699170898602,0.4161340093470314,20,PDGFB,PDGFB:0.1165;FGF1:0.0674;FGF2:0.0556;EGF:0.0542;JAM2:0.0122,Cerebrovascular cells,0.384943814658228,0.0320907937105988,0.908262525040509,AD-enriched_nominal,26
Cerebrovascular cells,BTG1,0.1108453393234449,0.3400982376001893,20,IGF1,IGF1:0.1108;PDGFB:0.03;PDGFC:0.0296;JAM2:0.0152;IL1B:0.014,Cerebrovascular cells,0.339506898036103,0.045033122477482,0.908262525040509,AD-enriched_nominal,27
Cerebrovascular cells,LIMA1,0.11017198129075104,0.30897887928878903,20,IGF1,IGF1:0.1102;VEGFA:0.0549;IL18:0.0113;IL1B:0.0112;JAM2:0.0111,Cerebrovascular cells,0.299758255669614,0.0319474818349674,0.908262525040509,AD-enriched_nominal,28
Cerebrovascular cells,HECA,0.10977224439496149,0.326914350042394,20,IGF1,IGF1:0.1098;PDGFC:0.0687;PDGFB:0.0545;IL18:0.01;IL1B:0.0078,Cerebrovascular cells,0.465418847420177,0.0111250178750818,0.908262525040509,AD-enriched_nominal,29
Cerebrovascular cells,RNF19B,0.10535457766914527,0.2489850659399654,20,IL1B,IL1B:0.1054;PDGFB:0.0258;PDGFC:0.0249;IL18:0.0075;IGF1:0.0073,Cerebrovascular cells,0.663664710765239,0.00142922748386444,0.783216661157713,AD-enriched_nominal,30
Cerebrovascular cells,CAT,0.0992144922217034,0.2018914023675263,20,IL1B,IL1B:0.0992;JAM2:0.0084;IL18:0.0082;IGF1:0.0079;TNFSF10:0.0065,Cerebrovascular cells,0.485996245861801,0.0389627251532712,0.908262525040509,AD-enriched_nominal,31
Cerebrovascular cells,STARD4,0.08809601890399775,0.35555038606460937,20,EGF,EGF:0.0881;PDGFC:0.0665;PDGFB:0.0526;VEGFA:0.046;IL1B:0.0095,Cerebrovascular cells,0.547880999289429,0.0417848431053678,0.908262525040509,AD-enriched_nominal,32
Cerebrovascular cells,KRT10,0.08286534013940076,0.21361537162087618,20,IGF1,IGF1:0.0829;IL18:0.0693;JAM2:0.01;IL1B:0.004;HGF:0.0038,Cerebrovascular cells,0.610142634536486,0.00225428009316863,0.908262525040509,AD-enriched_nominal,33
Cerebrovascular cells,TNFRSF10D,0.08009543698030658,0.41922047322443995,20,HGF,HGF:0.0801;IL18:0.069;ANGPT1:0.0683;PDGFB:0.0525;IGF1:0.0466,Cerebrovascular cells,0.556136545994883,0.0113378127026513,0.908262525040509,AD-enriched_nominal,34
Cerebrovascular cells,GRAMD1A,0.07306913331607368,0.22741371142485597,20,IL18,IL18:0.0731;VEGFA:0.054;IL1B:0.0089;JAM2:0.0077;ANGPT1:0.0076,Cerebrovascular cells,0.53320267699877,0.00290192122996357,0.908262525040509,AD-enriched_nominal,35
Cerebrovascular cells,TM4SF18,0.07189862517157083,0.2044999617391674,20,FGF1,FGF1:0.0719;VEGFA:0.0565;IGF1:0.0064;JAM2:0.0056;IL1B:0.0056,Cerebrovascular cells,0.496986558003936,0.0454848689930809,0.908262525040509,AD-enriched_nominal,36
Cerebrovascular cells,MT1A,0.07121690055360784,0.1866623384818064,20,IL1B,IL1B:0.0712;IL18:0.0712;JAM2:0.0053;IGF1:0.0037;FGF2:0.0034,Cerebrovascular cells,1.55598764209559,7.0206247195153e-4,0.718861109399258,AD-enriched_nominal,37
Cerebrovascular cells,GIMAP7,0.07065098639074807,0.13365592798683498,20,ANGPT1,ANGPT1:0.0707;IL1B:0.0052;IL18:0.0047;IGF1:0.0045;FGF2:0.0039,Cerebrovascular cells,0.517054002111829,0.0421489701312764,0.908262525040509,AD-enriched_nominal,38
Cerebrovascular cells,PODN,0.07029650088409346,0.20131775839954655,20,IGF1,IGF1:0.0703;PDGFC:0.068;IL1B:0.0048;IL18:0.0047;FGF2:0.0043,Cerebrovascular cells,0.420863688166977,0.0444371590589445,0.908262525040509,AD-enriched_nominal,39
Cerebrovascular cells,ST6GAL1,0.07016572386258654,0.2949733737880167,20,ANGPT1,ANGPT1:0.0702;VEGFA:0.0551;PDGFB:0.0271;PDGFC:0.0263;JAM2:0.0126,Cerebrovascular cells,0.384495366151084,0.0490128066848316,0.908262525040509,AD-enriched_nominal,40
Cerebrovascular cells,EIF1B,0.06973105218590686,0.19474218553426126,20,IL18,IL18:0.0697;IGF1:0.0454;JAM2:0.007;IL1B:0.0062;PDGFC:0.0051,Cerebrovascular cells,0.418850728644951,0.0489883876728259,0.908262525040509,AD-enriched_nominal,41
