"celltype","gene","logFC","logCPM","F","PValue","FDR","n_cells","n_samples_AD","n_samples_CN","assay","direction","neglog10P"
"Excitatory","AL109935.1",-0.336200808168582,-0.963419372647379,2.73910309418191,0.10197630832871,0.992957765619551,127723,33,33,"decontX","Not significant",0.991500714093296
"Excitatory","AC008105.3",-0.145520115169774,4.54945647568143,2.74772625104564,0.102013913453297,0.992957765619551,127723,33,33,"decontX","Not significant",0.99134059172918
"Excitatory","PAPPA2",-0.133266193289963,3.78753800893841,2.74772197970021,0.102014833652644,0.992957765619551,127723,33,33,"decontX","Not significant",0.991336674266522
"Excitatory","SGCG",0.252015405455289,3.42783770188248,2.74581546653029,0.102131933258016,0.992957765619551,127723,33,33,"decontX","Not significant",0.990838447242962
"Excitatory","CASD1",0.106322073092701,6.39319270990468,2.7444830720232,0.102212044354482,0.992957765619551,127723,33,33,"decontX","Not significant",0.990497925253292
"Excitatory","AL592211.1",-0.209092007449697,-0.0485369724111232,2.74353249803901,0.102244022985876,0.992957765619551,127723,33,33,"decontX","Not significant",0.990362070705692
"Excitatory","KIF27",-0.118175007934215,4.94392102655428,2.74152950807846,0.102393361842399,0.992957765619551,127723,33,33,"decontX","Not significant",0.98972819774167
"Excitatory","DCLK2",-0.1109957773477,7.99702599006166,2.74131628062341,0.102406248890899,0.992957765619551,127723,33,33,"decontX","Not significant",0.989673541641115
"Excitatory","CAMK2D",-0.133579236149642,8.87794903982722,2.74121456458431,0.102412493899795,0.992957765619551,127723,33,33,"decontX","Not significant",0.989647058001318
"Excitatory","AC004839.1",0.256190587489708,0.485609235322133,2.7409350298896,0.102440938675338,0.992957765619551,127723,33,33,"decontX","Not significant",0.98952645070681
"Excitatory","LMNB1-DT",-0.175165529006966,1.651864012093,2.74081019102128,0.102447109684784,0.992957765619551,127723,33,33,"decontX","Not significant",0.989500289733807
"Excitatory","ARHGAP5",0.117860276139063,6.9376943527343,2.73932012217926,0.102528911441611,0.992957765619551,127723,33,33,"decontX","Not significant",0.989153653543968
"Excitatory","NACC2",0.329849829366087,1.66738825693913,2.73929513144983,0.102544059706898,0.992957765619551,127723,33,33,"decontX","Not significant",0.989089492889352
"Excitatory","WFS1",0.211612627740995,3.74961317461661,2.73875217189249,0.102564825085355,0.992957765619551,127723,33,33,"decontX","Not significant",0.989001556286132
"Excitatory","LINC00670",-0.269501815308642,0.259462304608743,2.73672745165886,0.102661025329222,0.992957765619551,127723,33,33,"decontX","Not significant",0.988594402528019
"Excitatory","CCBE1",-0.283623056417742,6.21349653765822,2.73631865104611,0.102713661328434,0.992957765619551,127723,33,33,"decontX","Not significant",0.988371789655127
"Excitatory","AL450442.1",-0.197457812737876,3.85036443581229,2.7338597597806,0.102866216439804,0.992957765619551,127723,33,33,"decontX","Not significant",0.987727233816931
"Excitatory","NAP1L4",0.0795580272964181,6.11661555533593,2.7330551726885,0.102914933314819,0.992957765619551,127723,33,33,"decontX","Not significant",0.987521603025043
"Excitatory","OVGP1",-0.15784723367886,3.41856633297915,2.73081275968385,0.103055225601782,0.992957765619551,127723,33,33,"decontX","Not significant",0.986929981638485
"Excitatory","AL356599.1",-0.136550128412589,4.84504619274648,2.73030926461509,0.103084826567239,0.992957765619551,127723,33,33,"decontX","Not significant",0.986805255405908
"Excitatory","SHC3",-0.138464774267512,7.6501957675616,2.72902483492158,0.103164072995887,0.992957765619551,127723,33,33,"decontX","Not significant",0.98647151991991
"Excitatory","PPP2R3B",-0.172475205522956,2.61105670660715,2.72806901863727,0.103228085922599,0.992957765619551,127723,33,33,"decontX","Not significant",0.986202125366568
"Excitatory","KCNG3",-0.177987895245543,4.25525756398642,2.72756438083579,0.103255136335354,0.992957765619551,127723,33,33,"decontX","Not significant",0.986088335539658
"Excitatory","AC004069.1",-0.194500192453181,-0.18866533279999,2.72634010906496,0.103275568571447,0.992957765619551,127723,33,33,"decontX","Not significant",0.986002405387808
"Excitatory","SLF1",-0.0936593573984745,6.70243402313024,2.72548984952306,0.103383187097876,0.992957765619551,127723,33,33,"decontX","Not significant",0.985550083527531
"Excitatory","KCNE1",-0.350473601107034,0.649212398879611,2.72488790528804,0.103421692264602,0.992957765619551,127723,33,33,"decontX","Not significant",0.98538836024829
"Excitatory","ANKRD34C",0.28654236804015,1.22262117156424,2.7245232371842,0.103447150842217,0.992957765619551,127723,33,33,"decontX","Not significant",0.985281466240808
"Excitatory","PCDHB16",-0.236289234822187,-0.0365075187234313,2.72357943241864,0.103452216580371,0.992957765619551,127723,33,33,"decontX","Not significant",0.985260199649664
"Excitatory","DNALI1",0.195529395159701,2.26860240468475,2.72441006205585,0.103456459071827,0.992957765619551,127723,33,33,"decontX","Not significant",0.985242389950547
"Excitatory","APOC1",0.325651678420645,-1.13218153983919,2.71535378515113,0.103522085585345,0.992957765619551,127723,33,33,"decontX","Not significant",0.984966987167233
"Excitatory","THPO",-0.222752052488013,1.6108335600248,2.72192927940147,0.103610051882454,0.992957765619551,127723,33,33,"decontX","Not significant",0.984598108825207
"Excitatory","MBLAC1",0.198095156736855,1.36731562161858,2.72200351169184,0.103614456434916,0.992957765619551,127723,33,33,"decontX","Not significant",0.984579646985481
"Excitatory","TMEM130",0.119068425517152,6.92362758790686,2.72085621000286,0.103671181183436,0.992957765619551,127723,33,33,"decontX","Not significant",0.984341953277732
"Excitatory","TRMU",-0.13126856555256,4.67545538177828,2.72060577927918,0.103687102645512,0.992957765619551,127723,33,33,"decontX","Not significant",0.984275260951682
"Excitatory","AC009630.1",-0.161573319725052,2.24660989216546,2.72057734174661,0.103695016533967,0.992957765619551,127723,33,33,"decontX","Not significant",0.984242114814475
"Excitatory","PSG2",-0.388491205046157,-0.474735356421881,2.7160164255646,0.103741200768968,0.992957765619551,127723,33,33,"decontX","Not significant",0.984048729503039
