ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Description_clean
GO_Biological_Process_2023::Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279),GO_Biological_Process_2023::Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279),2/49,12/1677,0.16666666666666666,5.704081632653061,2.8363916662724704,0.04580357086320601,0.3801015330799839,0.35169211784617593,DMD/GPER1,2,Regulation of Release of Sequestered Calcium Ion into Cytosol
GO_Biological_Process_2023::Potassium Ion Transport (GO:0006813),GO_Biological_Process_2023::Potassium Ion Transport (GO:0006813),3/49,28/1677,0.10714285714285714,3.6669096209912535,2.468225488737684,0.04599402112611677,0.3801015330799839,0.35169211784617593,ABCC9/SLC12A7/ATP1A2,3,Potassium Ion Transport
GO_Biological_Process_2023::Intracellular Calcium Ion Homeostasis (GO:0006874),GO_Biological_Process_2023::Intracellular Calcium Ion Homeostasis (GO:0006874),3/49,29/1677,0.10344827586206896,3.5404644616467276,2.3935437282873595,0.050271328665491666,0.40775633250898796,0.3772799519729882,PTH1R/TRPC3/GPER1,3,Intracellular Calcium Ion Homeostasis
GO_Biological_Process_2023::Skin Development (GO:0043588),GO_Biological_Process_2023::Skin Development (GO:0043588),2/49,13/1677,0.15384615384615385,5.26530612244898,2.6776454319595766,0.05313913500311652,0.42318074784300064,0.39155152107559543,COL5A3/TXNIP,2,Skin Development
GO_Biological_Process_2023::Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),GO_Biological_Process_2023::Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188),3/49,30/1677,0.1,3.422448979591837,2.3220753786066073,0.05473723916675652,0.42812340633998847,0.3961247571278433,PTH1R/GRM8/GPER1,3,Adenylate Cyclase-Modulating g Protein-Coupled Receptor Signaling Pathway
GO_Biological_Process_2023::Blood Circulation (GO:0008015),GO_Biological_Process_2023::Blood Circulation (GO:0008015),2/49,14/1677,0.14285714285714285,4.889212827988338,2.5344717199168607,0.060861535533217596,0.430566297017628,0.39838506212878344,COL4A3/GUCY1B1,2,Blood Circulation
GO_Biological_Process_2023::Carboxylic Acid Transmembrane Transport (GO:1905039),GO_Biological_Process_2023::Carboxylic Acid Transmembrane Transport (GO:1905039),2/49,14/1677,0.14285714285714285,4.889212827988338,2.5344717199168607,0.060861535533217596,0.430566297017628,0.39838506212878344,SLC38A11/SLC19A1,2,Carboxylic Acid Transmembrane Transport
GO_Biological_Process_2023::Chloride Transmembrane Transport (GO:1902476),GO_Biological_Process_2023::Chloride Transmembrane Transport (GO:1902476),2/49,14/1677,0.14285714285714285,4.889212827988338,2.5344717199168607,0.060861535533217596,0.430566297017628,0.39838506212878344,SLC6A1/SLC12A7,2,Chloride Transmembrane Transport
GO_Biological_Process_2023::Glycerophospholipid Biosynthetic Process (GO:0046474),GO_Biological_Process_2023::Glycerophospholipid Biosynthetic Process (GO:0046474),2/49,14/1677,0.14285714285714285,4.889212827988338,2.5344717199168607,0.060861535533217596,0.430566297017628,0.39838506212878344,DGKB/INPP4B,2,Glycerophospholipid Biosynthetic Process
GO_Biological_Process_2023::Positive Regulation Of Canonical Wnt Signaling Pathway (GO:0090263),GO_Biological_Process_2023::Positive Regulation Of Canonical Wnt Signaling Pathway (GO:0090263),2/49,14/1677,0.14285714285714285,4.889212827988338,2.5344717199168607,0.060861535533217596,0.430566297017628,0.39838506212878344,GPC5/DAAM2,2,Positive Regulation of Canonical Wnt Signaling Pathway
GO_Biological_Process_2023::Amino Acid Transport (GO:0006865),GO_Biological_Process_2023::Amino Acid Transport (GO:0006865),2/49,15/1677,0.13333333333333333,4.563265306122449,2.4042859914661334,0.06894292642053927,0.430566297017628,0.39838506212878344,SLC38A11/SLC6A12,2,Amino Acid Transport
GO_Biological_Process_2023::Calcium Ion Transmembrane Import Into Cytosol (GO:0097553),GO_Biological_Process_2023::Calcium Ion Transmembrane Import Into Cytosol (GO:0097553),2/49,15/1677,0.13333333333333333,4.563265306122449,2.4042859914661334,0.06894292642053927,0.430566297017628,0.39838506212878344,PLCE1/CACNA1C,2,Calcium Ion Transmembrane Import into Cytosol
GO_Biological_Process_2023::Monoatomic Anion Transmembrane Transport (GO:0098656),GO_Biological_Process_2023::Monoatomic Anion Transmembrane Transport (GO:0098656),2/49,15/1677,0.13333333333333333,4.563265306122449,2.4042859914661334,0.06894292642053927,0.430566297017628,0.39838506212878344,SLC6A1/SLC12A7,2,Monoatomic Anion Transmembrane Transport
GO_Biological_Process_2023::Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0008277),GO_Biological_Process_2023::Regulation Of G Protein-Coupled Receptor Signaling Pathway (GO:0008277),2/49,15/1677,0.13333333333333333,4.563265306122449,2.4042859914661334,0.06894292642053927,0.430566297017628,0.39838506212878344,PLCE1/GPER1,2,Regulation of g Protein-Coupled Receptor Signaling Pathway
GO_Biological_Process_2023::Inorganic Anion Transmembrane Transport (GO:0098661),GO_Biological_Process_2023::Inorganic Anion Transmembrane Transport (GO:0098661),2/49,16/1677,0.125,4.278061224489796,2.2850730201720277,0.07735670045549572,0.430566297017628,0.39838506212878344,SLC6A1/SLC12A7,2,Inorganic Anion Transmembrane Transport
GO_Biological_Process_2023::Regulation Of Actin Filament-Based Process (GO:0032970),GO_Biological_Process_2023::Regulation Of Actin Filament-Based Process (GO:0032970),2/49,17/1677,0.11764705882352941,4.02641056422569,2.1752346258332107,0.08607744300732062,0.430566297017628,0.39838506212878344,PDGFRB/DAAM2,2,Regulation of Actin Filament-Based Process
GO_Biological_Process_2023::Intracellular Monoatomic Cation Homeostasis (GO:0030003),GO_Biological_Process_2023::Intracellular Monoatomic Cation Homeostasis (GO:0030003),3/49,37/1677,0.08108108108108109,2.774958632101489,1.8935423403562748,0.09097465783118587,0.430566297017628,0.39838506212878344,PTH1R/SLC30A10/ATP1A2,3,Intracellular Monoatomic Cation Homeostasis
GO_Biological_Process_2023::Cellular Response To Peptide Hormone Stimulus (GO:0071375),GO_Biological_Process_2023::Cellular Response To Peptide Hormone Stimulus (GO:0071375),2/49,18/1677,0.1111111111111111,3.8027210884353737,2.073484473720063,0.09508088734141648,0.430566297017628,0.39838506212878344,SLC30A10/GPER1,2,Cellular Response to Peptide Hormone Stimulus
GO_Biological_Process_2023::Negative Regulation Of Inflammatory Response (GO:0050728),GO_Biological_Process_2023::Negative Regulation Of Inflammatory Response (GO:0050728),2/49,18/1677,0.1111111111111111,3.8027210884353737,2.073484473720063,0.09508088734141648,0.430566297017628,0.39838506212878344,RHBDF2/GPER1,2,Negative Regulation of Inflammatory Response
GO_Biological_Process_2023::Positive Regulation Of Wnt Signaling Pathway (GO:0030177),GO_Biological_Process_2023::Positive Regulation Of Wnt Signaling Pathway (GO:0030177),2/49,18/1677,0.1111111111111111,3.8027210884353737,2.073484473720063,0.09508088734141648,0.430566297017628,0.39838506212878344,GPC5/DAAM2,2,Positive Regulation of Wnt Signaling Pathway
GO_Biological_Process_2023::Second-Messenger-Mediated Signaling (GO:0019932),GO_Biological_Process_2023::Second-Messenger-Mediated Signaling (GO:0019932),2/49,19/1677,0.10526315789473684,3.602577873254565,1.97877364493155,0.10434387144942371,0.430566297017628,0.39838506212878344,PLCE1/GUCY1B1,2,Second-Messenger-Mediated Signaling
GO_Biological_Process_2023::Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),GO_Biological_Process_2023::Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374),3/49,40/1677,0.075,2.566836734693877,1.7395513286584643,0.10893635776480885,0.430566297017628,0.39838506212878344,PDGFRB/SLC30A10/GPER1,3,Positive Regulation of Erk1 and Erk2 Cascade
GO_Biological_Process_2023::Calcium Ion Transmembrane Transport (GO:0070588),GO_Biological_Process_2023::Calcium Ion Transmembrane Transport (GO:0070588),2/49,20/1677,0.1,3.422448979591837,1.890236867358996,0.11384429634427685,0.430566297017628,0.39838506212878344,CACNA1C/TRPC3,2,Calcium Ion Transmembrane Transport
GO_Biological_Process_2023::Chloride Transport (GO:0006821),GO_Biological_Process_2023::Chloride Transport (GO:0006821),2/49,20/1677,0.1,3.422448979591837,1.890236867358996,0.11384429634427685,0.430566297017628,0.39838506212878344,SLC6A1/SLC12A7,2,Chloride Transport
GO_Biological_Process_2023::Cellular Response To Organic Cyclic Compound (GO:0071407),GO_Biological_Process_2023::Cellular Response To Organic Cyclic Compound (GO:0071407),3/49,41/1677,0.07317073170731707,2.5042309606769537,1.6913077885995196,0.11521311227022014,0.430566297017628,0.39838506212878344,ATP1A2/PDE3A/GPER1,3,Cellular Response to Organic Cyclic Compound
GO_Biological_Process_2023::Neuron Projection Guidance (GO:0097485),GO_Biological_Process_2023::Neuron Projection Guidance (GO:0097485),3/49,41/1677,0.07317073170731707,2.5042309606769537,1.6913077885995196,0.11521311227022014,0.430566297017628,0.39838506212878344,NOTCH3/CNTN4/UNC5C,3,Neuron Projection Guidance
GO_Biological_Process_2023::Positive Regulation Of MAPK Cascade (GO:0043410),GO_Biological_Process_2023::Positive Regulation Of MAPK Cascade (GO:0043410),4/49,65/1677,0.06153846153846154,2.1061224489795918,1.5775575555243584,0.11849102631795556,0.430566297017628,0.39838506212878344,PDGFRB/PLCE1/SLC30A10/GPER1,4,Positive Regulation of Mapk Cascade
