source,target,mean_strength_AD,n_lr_AD,mean_strength_CN,n_lr_CN,delta_AD_vs_CN,source_n_AD,source_n_CN,target_n_AD,target_n_CN,min_group_cell_count,source_family,target_family
Cerebrovascular_Venous,Oligodendrocytes,0.574866502833763,398.0,0.521557681195417,397,0.05330882163834594,328,317,80232,64998,317,Vascular,Oligo/OPC
Excitatory,Astro_Homeostatic,0.438992242676659,757.0,0.536854098217092,774,-0.09786185554043297,62331,65392,7441,10219,7441,Neuron,Astrocyte
Excitatory,Astro_Intermediate,0.41303973587032,740.0,0.517464199235412,753,-0.10442446336509198,62331,65392,5602,5852,5602,Neuron,Astrocyte
Excitatory,Astro_Reactive,0.415838044191945,785.0,0.533453376954986,790,-0.11761533276304098,62331,65392,1387,1200,1200,Neuron,Astrocyte
Excitatory,CapEC_ActHigh,0.667907837142714,602.0,0.807287105136192,620,-0.139379267993478,62331,65392,134,124,124,Neuron,Vascular
Excitatory,CapEC_ActLow,0.517329304732693,532.0,0.570250332838684,525,-0.052921028105990975,62331,65392,129,129,129,Neuron,Vascular
Excitatory,CapEC_ActMid,0.62399848020224,559.0,0.680716722769962,590,-0.056718242567721955,62331,65392,154,112,112,Neuron,Vascular
Excitatory,Cerebrovascular_Pericyte,0.397681562869155,930.0,0.464816696504571,905,-0.06713513363541601,62331,65392,516,449,449,Neuron,Vascular
Excitatory,Cerebrovascular_Venous,0.294430015527507,760.0,0.307457798867839,779,-0.013027783340332,62331,65392,328,317,317,Neuron,Vascular
Excitatory,Excitatory,0.386511781404655,740.0,0.486289271450495,746,-0.09977749004584002,62331,65392,62331,65392,62331,Neuron,Neuron
Excitatory,Inhibitory,0.377010925651792,702.0,0.435753197646229,707,-0.05874227199443699,62331,65392,18727,18751,18727,Neuron,Neuron
Excitatory,Micro_DAM,0.366125084348049,465.0,0.361099140619145,462,0.005025943728904025,62331,65392,10413,8260,8260,Neuron,Microglia
Excitatory,Micro_Homeostatic,0.341583465708655,473.0,0.415685850953918,457,-0.07410238524526302,62331,65392,2452,2998,2452,Neuron,Microglia
Excitatory,OPCs,0.490781485285411,608.0,0.562052125735736,628,-0.07127064045032505,62331,65392,9583,11259,9583,Neuron,Oligo/OPC
Excitatory,Oligodendrocytes,0.361913609473625,416.0,0.426670514112602,424,-0.06475690463897699,62331,65392,80232,64998,62331,Neuron,Oligo/OPC
Inhibitory,Astro_Homeostatic,0.534311124827508,682.0,0.423233346239546,742,0.11107777858796197,18727,18751,7441,10219,7441,Neuron,Astrocyte
Inhibitory,Astro_Intermediate,0.706490515459191,666.0,0.415639114764421,722,0.29085140069476995,18727,18751,5602,5852,5602,Neuron,Astrocyte
Inhibitory,Astro_Reactive,0.516845587362223,707.0,0.417413823876659,753,0.09943176348556398,18727,18751,1387,1200,1200,Neuron,Astrocyte
Inhibitory,CapEC_ActHigh,0.73660141676356,538.0,0.63446512322874,589,0.1021362935348199,18727,18751,134,124,124,Neuron,Vascular
Inhibitory,CapEC_ActLow,0.575235970852669,479.0,0.453917972077905,490,0.12131799877476396,18727,18751,129,129,129,Neuron,Vascular
Inhibitory,CapEC_ActMid,0.697636214979424,498.0,0.550723044985791,555,0.1469131699936329,18727,18751,154,112,112,Neuron,Vascular
Inhibitory,Cerebrovascular_Pericyte,0.51024131236002,819.0,0.365510940980735,843,0.14473037137928502,18727,18751,516,449,449,Neuron,Vascular
Inhibitory,Cerebrovascular_Venous,0.362792559483153,681.0,0.265586527488273,736,0.09720603199487998,18727,18751,328,317,317,Neuron,Vascular
