test_ligand,auroc,aupr,aupr_corrected,pearson,receiver_context,ligand_clean,n_receiver_genes,n_background_genes,n_potential_ligands,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,target_families,source_cellstates,target_cellstates,receptor_examples,lr_pair_examples,receptor_supported_by_nichenet,activity_rank_within_receiver
COL4A4,0.5476710740799073,0.06408719823750082,0.013951263486181455,0.03729598041062752,Astrocytes,COL4A4,627,12506,228,COL4A4,9,0.7730937270251399,0.5133965557048543,Vascular,Astrocyte,Cerebrovascular_Pericyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD44;ITGA2_ITGB1;ITGA3_ITGB1;ITGA9_ITGB1,COL4A4 - CD44;COL4A4 - ITGA2/ITGB1;COL4A4 - ITGA3/ITGB1;COL4A4 - ITGA9/ITGB1,TRUE,82
SEMA3F,0.5438634084541727,0.06339209732190212,0.013256162570582757,0.03724879887271989,Astrocytes,SEMA3F,627,12506,228,SEMA3F,2,0.092695856368822,0.0812742274831035,Vascular,Astrocyte,CapEC_ActHigh;CapEC_ActMid,Astro_Reactive,NRP2_PLXNA3,SEMA3F - NRP2/PLXNA3,TRUE,83
COL9A2,0.5479572531800925,0.06376778049470147,0.013631845743382102,0.036639705963361906,Astrocytes,COL9A2,627,12506,228,COL9A2,11,2.36970859726346,0.5855045530398829,Astrocyte;Microglia,Astrocyte,Astro_Intermediate;Astro_Reactive;Micro_DAM,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD44;ITGAV_ITGB8,COL9A2 - CD44;COL9A2 - ITGAV/ITGB8,FALSE,84
COL4A6,0.541733478712048,0.06418060380070964,0.014044669049390272,0.03656172630847815,Astrocytes,COL4A6,627,12506,228,COL4A6,4,0.18138044570054,0.07679657596701274,Astrocyte;Vascular,Astrocyte,Astro_Reactive;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate,CD44;ITGAV_ITGB8,COL4A6 - CD44;COL4A6 - ITGAV/ITGB8,TRUE,85
EFEMP1,0.5407943843108065,0.06325003223430763,0.013114097482988259,0.036388641216921404,Astrocytes,EFEMP1,627,12506,228,EFEMP1,7,1.55723054626882,0.9862254976266229,Astrocyte;Vascular,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,EGFR,EFEMP1 - EGFR,TRUE,86
LGALS3BP,0.5461574732889455,0.06328070744834027,0.013144772697020905,0.03631823804587209,Astrocytes,LGALS3BP,627,12506,228,LGALS3BP,3,0.418464058897493,0.281507642894273,Vascular,Astrocyte,Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,ITGB1,LGALS3BP - ITGB1,TRUE,87
HSPG2,0.541380571480129,0.06304926444657181,0.012913329695252447,0.036119802638798486,Astrocytes,HSPG2,627,12506,228,HSPG2,15,0.37656151155569106,0.13268330795806146,Vascular,Astrocyte,CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,DAG1;FGFR1;LRP1;PTPRS,HSPG2 - DAG1;HSPG2 - FGFR1;HSPG2 - LRP1;HSPG2 - PTPRS,TRUE,88
LAMB2,0.5410529054730897,0.06256844127582957,0.012432506524510202,0.03596633545824823,Astrocytes,LAMB2,627,12506,228,LAMB2,61,0.94029518514716,0.31658262702855694,Astrocyte;Vascular,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD44;DAG1;ITGA2_ITGB1;ITGA3_ITGB1;ITGA6_ITGB1,LAMB2 - CD44;LAMB2 - DAG1;LAMB2 - ITGA2/ITGB1;LAMB2 - ITGA3/ITGB1;LAMB2 - ITGA6/ITGB1,TRUE,89
ADAM12,0.5450484705361756,0.06408557098694509,0.013949636235625722,0.035961243785221815,Astrocytes,ADAM12,627,12506,228,ADAM12,9,1.02276830942645,0.33731940368920205,Astrocyte;Vascular,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,ITGA9;ITGB1;SDC4,ADAM12 - ITGA9;ADAM12 - ITGB1;ADAM12 - SDC4,TRUE,90
EFNB1,0.5400413096812303,0.06263807494437415,0.012502140193054782,0.035957705059726446,Astrocytes,EFNB1,627,12506,228,EFNB1,8,0.546075376719193,0.18764676607832473,Vascular,Astrocyte,CapEC_ActHigh;Cerebrovascular_Pericyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,EPHA6;EPHB1,EFNB1 - EPHA6;EFNB1 - EPHB1,TRUE,91
VIP,0.5495555731886107,0.06213556679653525,0.011999632045215883,0.03595681543167152,Astrocytes,VIP,627,12506,228,VIP,5,0.557364927670138,0.3527005937563098,Vascular,Astrocyte,CapEC_ActLow,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,ADCYAP1R1;RAMP1,VIP - ADCYAP1R1;VIP - RAMP1,TRUE,92
COL4A1,0.543953565276023,0.06389534709764405,0.013759412346324683,0.03593306714868382,Astrocytes,COL4A1,627,12506,228,COL4A1,21,0.762371971895389,0.3152406026564306,Astrocyte;Vascular,Astrocyte,Astro_Intermediate;CapEC_ActHigh;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD44;CD47;ITGA3_ITGB1;ITGA9_ITGB1,COL4A1 - CD44;COL4A1 - CD47;COL4A1 - ITGA3/ITGB1;COL4A1 - ITGA9/ITGB1,TRUE,93
COL21A1,0.543591326846608,0.06285791675433836,0.012721982003018988,0.03569441345138937,Astrocytes,COL21A1,627,12506,228,COL21A1,1,0.27641451814762,0.27641451814762,Astrocyte,Astrocyte,Astro_Intermediate,Astro_Reactive,ITGA2_ITGB1,COL21A1 - ITGA2/ITGB1,TRUE,94
CXCL10,0.536483975245877,0.06275348545598136,0.012617550704661994,0.03559992063749972,Astrocytes,CXCL10,627,12506,228,CXCL10,3,1.80982160479678,1.6375464029360067,Vascular,Astrocyte,CapEC_ActHigh,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,SDC4,CXCL10 - SDC4,TRUE,95
ENTPD1,0.5487833662476245,0.06365737779659765,0.013521443045278282,0.035573758087797565,Astrocytes,ENTPD1,627,12506,228,ENTPD1,11,0.2671584535323801,0.15759555478236303,Microglia;Vascular,Astrocyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Micro_DAM,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,ADORA1;ADORA2B,ENTPD1 - ADORA1;ENTPD1 - ADORA2B,TRUE,96
COL1A2,0.5453917780469268,0.06316636899023949,0.01303043423892012,0.035431010505661324,Astrocytes,COL1A2,627,12506,228,COL1A2,19,0.7594914993615198,0.3720139057061704,Vascular,Astrocyte,Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD44;ITGA2_ITGB1;ITGA3_ITGB1;ITGA9_ITGB1;ITGAV_ITGB8,COL1A2 - CD44;COL1A2 - ITGA2/ITGB1;COL1A2 - ITGA3/ITGB1;COL1A2 - ITGA9/ITGB1;COL1A2 - ITGAV/ITGB8,TRUE,97
TIMP3,0.5429594235226447,0.06270638751308674,0.012570452761767374,0.035401452828624995,Astrocytes,TIMP3,627,12506,228,TIMP3,9,0.511713642843406,0.24673478270901697,Astrocyte;Vascular,Astrocyte,Astro_Intermediate;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD44,TIMP3 - CD44,TRUE,98
LAMA1,0.5401087091221376,0.06292576001229351,0.012789825260974143,0.03535901365677645,Astrocytes,LAMA1,627,12506,228,LAMA1,52,1.1686142005051998,0.4002942933528893,Astrocyte;Vascular,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD44;DAG1;GPC1;ITGA3_ITGB1;ITGA6_ITGB1,LAMA1 - CD44;LAMA1 - DAG1;LAMA1 - GPC1;LAMA1 - ITGA3/ITGB1;LAMA1 - ITGA6/ITGB1,TRUE,99
CXCL11,0.5429867458059624,0.06253604739236397,0.012400112641044604,0.035015473788944373,Astrocytes,CXCL11,627,12506,228,CXCL11,3,1.46293490200472,1.4241594696297066,Vascular,Astrocyte,CapEC_ActHigh,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,ACKR3,CXCL11 - ACKR3,TRUE,100
CALM3,0.5467331880351751,0.06288120319783463,0.012745268446515266,0.03498906388298744,Astrocytes,CALM3,627,12506,228,CALM3,50,0.7917086567342602,0.20163965582094487,Astrocyte;Microglia;Vascular,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,ADCY8;AQP1;AR;EGFR;MYLK,CALM3 - ADCY8;CALM3 - AQP1;CALM3 - AR;CALM3 - EGFR;CALM3 - MYLK,TRUE,101
KL,0.5468020643562609,0.06268788234987309,0.012551947598553721,0.03491802215784972,Astrocytes,KL,627,12506,228,KL,8,0.384838570704768,0.23824032673078724,Vascular,Astrocyte,CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Pericyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,FGFR1,KL - FGFR1,TRUE,102
CTHRC1,0.5294056242013944,0.061501160653237914,0.011365225901918546,0.03489322838787012,Astrocytes,CTHRC1,627,12506,228,CTHRC1,1,0.0542942261638255,0.0542942261638255,Vascular,Astrocyte,Cerebrovascular_Venous,Astro_Homeostatic,FZD3,CTHRC1 - FZD3,TRUE,103
VWF,0.5433381761577037,0.06406526890810062,0.01392933415678125,0.034731385765677567,Astrocytes,VWF,627,12506,228,VWF,20,0.8019823722000798,0.37875895691253136,Vascular,Astrocyte,Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,ITGA9;ITGB1;LRP1;SIRPA;TNFRSF11B,VWF - ITGA9;VWF - ITGB1;VWF - LRP1;VWF - SIRPA;VWF - TNFRSF11B,TRUE,104
SEMA6A,0.5389936645868177,0.0616558195417152,0.011519884790395833,0.034690270219060154,Astrocytes,SEMA6A,627,12506,228,SEMA6A,5,0.24995074270097295,0.1613328051625032,Vascular,Astrocyte,CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Pericyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,PLXNA2,SEMA6A - PLXNA2,TRUE,105
SEMA6B,0.5419375567004497,0.06232067441926449,0.012184739667945123,0.03459507401116763,Astrocytes,SEMA6B,627,12506,228,SEMA6B,4,0.346066142080791,0.24067700473083603,Vascular,Astrocyte,CapEC_ActHigh;Cerebrovascular_Pericyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,PLXNA2,SEMA6B - PLXNA2,TRUE,106
APOE,0.542002338035584,0.0641354376084252,0.013999502857105835,0.03457867156131137,Astrocytes,APOE,627,12506,228,APOE,80,1.77605198915058,0.3403682554936154,Astrocyte;Microglia;Vascular,Astrocyte,Astro_Intermediate;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,ABCA1;LDLR;LRP1;LRP4;LRP5,APOE - ABCA1;APOE - LDLR;APOE - LRP1;APOE - LRP4;APOE - LRP5,TRUE,107
COL4A3,0.5406447494962829,0.06222525472133977,0.012089319970020405,0.034524334735464804,Astrocytes,COL4A3,627,12506,228,COL4A3,8,0.7882104740962199,0.60569324735472,Vascular,Astrocyte,Cerebrovascular_Pericyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD44;ITGA2_ITGB1;ITGA3_ITGB1;ITGA9_ITGB1,COL4A3 - CD44;COL4A3 - ITGA2/ITGB1;COL4A3 - ITGA3/ITGB1;COL4A3 - ITGA9/ITGB1,TRUE,108
LGALS9,0.5383439715697891,0.06294089090116343,0.012804956149844067,0.03450603852218484,Astrocytes,LGALS9,627,12506,228,LGALS9,20,0.8869000247537699,0.19949777772257574,Microglia;Vascular,Astrocyte,CapEC_ActHigh;Cerebrovascular_Pericyte;Micro_DAM,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD44;COLEC12;HAVCR2;LRP1;MRC2,LGALS9 - CD44;LGALS9 - COLEC12;LGALS9 - HAVCR2;LGALS9 - LRP1;LGALS9 - MRC2,TRUE,109
COL4A5,0.5437894301833757,0.0625747531139818,0.012438818362662425,0.034478923662842956,Astrocytes,COL4A5,627,12506,228,COL4A5,4,1.1597030911568806,0.3587683462262127,Astrocyte;Vascular,Astrocyte,Astro_Intermediate;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD44,COL4A5 - CD44,FALSE,110
COL12A1,0.5500792614739832,0.06373902139106788,0.013603086639748511,0.03441534939619989,Astrocytes,COL12A1,627,12506,228,COL12A1,1,0.361653798884897,0.361653798884897,Vascular,Astrocyte,Cerebrovascular_Venous,Astro_Reactive,ITGA2_ITGB1,COL12A1 - ITGA2/ITGB1,TRUE,111
FGF13,0.5331249455400426,0.0623512660642342,0.012215331312914829,0.03434370732636459,Astrocytes,FGF13,627,12506,228,FGF13,11,0.28618996536168995,0.10169150147292146,Vascular,Astrocyte,Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,EGFR;FGFR1;FGFR2;FGFR3;SCN8A,FGF13 - EGFR;FGF13 - FGFR1;FGF13 - FGFR2;FGF13 - FGFR3;FGF13 - SCN8A,TRUE,112
SEMA3G,0.5378770089094831,0.06263876725159412,0.01250283250027475,0.034240927159854835,Astrocytes,SEMA3G,627,12506,228,SEMA3G,11,0.42441453022061,0.17017945512751906,Vascular,Astrocyte,CapEC_ActHigh;CapEC_ActLow,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,NRP2_PLXNA1;NRP2_PLXNA2;NRP2_PLXNA3,SEMA3G - NRP2/PLXNA1;SEMA3G - NRP2/PLXNA2;SEMA3G - NRP2/PLXNA3,TRUE,113
HLA-B,0.540398177637268,0.06175536723640131,0.011619432485081939,0.03406636520937801,Astrocytes,HLA-B,627,12506,228,HLA-B,13,1.20283351396728,0.3052270409628311,Microglia;Vascular,Astrocyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CANX;KLRD1,HLA-B - CANX;HLA-B - KLRD1,TRUE,114
WNT5A,0.5337695366073614,0.06246160381789619,0.012325669066576825,0.03397786388252147,Astrocytes,WNT5A,627,12506,228,WNT5A,18,0.26479245923986006,0.07912616894105537,Microglia,Astrocyte,Micro_DAM,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,ANTXR1;EPHA7;FZD3;FZD6;FZD7,WNT5A - ANTXR1;WNT5A - EPHA7;WNT5A - FZD3;WNT5A - FZD6;WNT5A - FZD7,TRUE,115
TNFSF10,0.542335575908755,0.06274870618562338,0.012612771434304011,0.033854118364232286,Astrocytes,TNFSF10,627,12506,228,TNFSF10,9,0.1837917069470366,0.11152982701664907,Microglia;Vascular,Astrocyte,CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Micro_DAM,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,TNFRSF10B;TNFRSF11B,TNFSF10 - TNFRSF10B;TNFSF10 - TNFRSF11B,TRUE,116
BMP7,0.5486162102637003,0.06391832262402032,0.013782387872700953,0.03384388175456793,Astrocytes,BMP7,627,12506,228,BMP7,27,1.7350597097520697,0.6505510664337963,Astrocyte,Astrocyte,Astro_Intermediate;Astro_Reactive,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,ACTR2;ACVR1_ACVR2A;ACVR1_ACVR2B;ACVR1_BMPR2;ACVR2A_BMPR1A,BMP7 - ACTR2;BMP7 - ACVR1/ACVR2A;BMP7 - ACVR1/ACVR2B;BMP7 - ACVR1/BMPR2;BMP7 - ACVR2A/BMPR1A,TRUE,117
RTN4,0.5462029880508303,0.06322654065349087,0.013090605902171502,0.03380297358269101,Astrocytes,RTN4,627,12506,228,RTN4,7,0.0715915024312859,0.03305102871460918,Microglia;Vascular,Astrocyte,CapEC_ActHigh;Cerebrovascular_Pericyte;Micro_DAM;Micro_Homeostatic,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,LINGO1,RTN4 - LINGO1,TRUE,118
ANGPTL4,0.5481083648747964,0.0642089912745618,0.014073056523242429,0.03376955923626132,Astrocytes,ANGPTL4,627,12506,228,ANGPTL4,42,1.1768520715527302,0.3647448871740529,Astrocyte;Vascular,Astrocyte,Astro_Homeostatic;Astro_Intermediate;CapEC_ActHigh;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CDH11;SDC2;SDC3;SDC4,ANGPTL4 - CDH11;ANGPTL4 - SDC2;ANGPTL4 - SDC3;ANGPTL4 - SDC4,TRUE,119
C3,0.5480796999731334,0.06295610049558809,0.012820165744268718,0.03370516249156945,Astrocytes,C3,627,12506,228,C3,10,0.22523687922459,0.10828921803955488,Astrocyte;Microglia,Astrocyte,Astro_Intermediate;Micro_DAM,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD81;LRP1;NRP1,C3 - CD81;C3 - LRP1;C3 - NRP1,TRUE,120
CNTN1,0.5364300019884204,0.061173488798248694,0.011037554046929327,0.033697576644111306,Astrocytes,CNTN1,627,12506,228,CNTN1,14,1.52927507269592,0.5423149288176302,Astrocyte;Vascular,Astrocyte,Astro_Intermediate;Cerebrovascular_Pericyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,NOTCH1;NOTCH2;NRCAM;PTPRZ1,CNTN1 - NOTCH1;CNTN1 - NOTCH2;CNTN1 - NRCAM;CNTN1 - PTPRZ1,TRUE,121
SEMA5A,0.544668375282771,0.06273857539669164,0.012602640645372275,0.0335502427544341,Astrocytes,SEMA5A,627,12506,228,SEMA5A,6,0.8037759936472297,0.465227074336315,Vascular,Astrocyte,Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,PLXNA3,SEMA5A - PLXNA3,TRUE,122
BMP5,0.5374275674185736,0.06101839699518196,0.010882462243862592,0.03350673678037231,Astrocytes,BMP5,627,12506,228,BMP5,18,0.501905490088947,0.24649524632860298,Vascular,Astrocyte,Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,ACVR1_ACVR2A;ACVR1_ACVR2B;ACVR1_BMPR2;ACVR2A_BMPR1A;ACVR2A_BMPR1B,BMP5 - ACVR1/ACVR2A;BMP5 - ACVR1/ACVR2B;BMP5 - ACVR1/BMPR2;BMP5 - ACVR2A/BMPR1A;BMP5 - ACVR2A/BMPR1B,TRUE,123
NLGN4X,0.5417352912468142,0.06080952478814378,0.010673590036824415,0.03335432625077698,Astrocytes,NLGN4X,627,12506,228,NLGN4X,2,0.2068321016061749,0.11553660778268994,Astrocyte,Astrocyte,Astro_Homeostatic;Astro_Intermediate,Astro_Reactive,NRXN1,NLGN4X - NRXN1,TRUE,124
LRPAP1,0.5386550562402672,0.062367725352469094,0.012231790601149727,0.03318078514594843,Astrocytes,LRPAP1,627,12506,228,LRPAP1,17,0.3896341739376701,0.10164968230559311,Astrocyte;Microglia;Vascular,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,LRP1;LRP8;SORL1,LRPAP1 - LRP1;LRPAP1 - LRP8;LRPAP1 - SORL1,TRUE,125
MMP2,0.5371649512703378,0.061666281453334665,0.011530346702015297,0.03300765028889726,Astrocytes,MMP2,627,12506,228,MMP2,3,0.52329064867548,0.4164604827250507,Vascular,Astrocyte,Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,FGFR1,MMP2 - FGFR1,TRUE,126
MEGF10,0.5326789948568338,0.06056760992307761,0.010431675171758241,0.032979661397551846,Astrocytes,MEGF10,627,12506,228,MEGF10,3,0.39267938786645984,0.17380874196608562,Astrocyte;Vascular,Astrocyte,Astro_Intermediate;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Reactive,ABCA1,MEGF10 - ABCA1,TRUE,127
COL16A1,0.5423224182489753,0.06300372212340491,0.012867787372085542,0.03288809664755782,Astrocytes,COL16A1,627,12506,228,COL16A1,1,0.01179208739898696,0.01179208739898696,Astrocyte,Astrocyte,Astro_Intermediate,Astro_Reactive,ITGA2_ITGB1,COL16A1 - ITGA2/ITGB1,TRUE,128
LGI1,0.5430421288126848,0.06150990957228248,0.011373974820963112,0.032825762325671505,Astrocytes,LGI1,627,12506,228,LGI1,6,0.17363622055234795,0.11082251670550185,Astrocyte,Astrocyte,Astro_Intermediate,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,ADAM22;ADAM23,LGI1 - ADAM22;LGI1 - ADAM23,TRUE,129
SEMA3E,0.5376517846821486,0.061702163822298,0.01156622907097863,0.03280576311607278,Astrocytes,SEMA3E,627,12506,228,SEMA3E,3,0.557639602020668,0.3484862488419273,Vascular,Astrocyte,CapEC_ActMid,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,NRP1,SEMA3E - NRP1,TRUE,130
ADAM10,0.5426722374587024,0.06259891148173449,0.012462976730415125,0.03257179998275898,Astrocytes,ADAM10,627,12506,228,ADAM10,48,0.9463675116656902,0.306080141656533,Astrocyte;Microglia;Vascular,Astrocyte,Astro_Homeostatic;Astro_Intermediate;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,AXL;CADM1;CD44;GPNMB;NOTCH2,ADAM10 - AXL;ADAM10 - CADM1;ADAM10 - CD44;ADAM10 - GPNMB;ADAM10 - NOTCH2,TRUE,131
DLL4,0.5431654483076505,0.06083082754961142,0.010694892798292055,0.03255263211515414,Astrocytes,DLL4,627,12506,228,DLL4,15,0.51642174707343,0.18721295254091105,Vascular,Astrocyte,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,NOTCH1;NOTCH2,DLL4 - NOTCH1;DLL4 - NOTCH2,TRUE,132
SPON1,0.5408498344484457,0.06460150125194414,0.01446556650062477,0.03253499894167719,Astrocytes,SPON1,627,12506,228,SPON1,3,0.1325314675983802,0.06617272649138413,Astrocyte,Astrocyte,Astro_Intermediate;Astro_Reactive,Astro_Homeostatic;Astro_Intermediate,APP;LRP8,SPON1 - APP;SPON1 - LRP8,TRUE,133
F13A1,0.5397793648421677,0.06167559834720646,0.011539663595887095,0.03253084328021693,Astrocytes,F13A1,627,12506,228,F13A1,3,0.4519823667975009,0.22346035116246563,Vascular,Astrocyte,Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,ITGB1,F13A1 - ITGB1,TRUE,134
TNFSF13B,0.5487095222386597,0.06560423673602828,0.015468301984708908,0.03240482300611239,Astrocytes,TNFSF13B,627,12506,228,TNFSF13B,1,0.0474276144871516,0.0474276144871516,Vascular,Astrocyte,CapEC_ActHigh,Astro_Intermediate,TFRC,TNFSF13B - TFRC,FALSE,135
COL18A1,0.537102385255472,0.0620891897321304,0.011953254980811033,0.03240003024172254,Astrocytes,COL18A1,627,12506,228,COL18A1,39,0.9731187997372,0.4083027158355795,Vascular,Astrocyte,CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,GPC1;GPC4;ITGA2_ITGB1;ITGA3;ITGB5,COL18A1 - GPC1;COL18A1 - GPC4;COL18A1 - ITGA2/ITGB1;COL18A1 - ITGA3;COL18A1 - ITGB5,TRUE,136
COL4A2,0.5451560813965061,0.062371265194794995,0.012235330443475627,0.032347478411405,Astrocytes,COL4A2,627,12506,228,COL4A2,19,0.9559918059536598,0.3088273627018346,Astrocyte;Vascular,Astrocyte,Astro_Intermediate;CapEC_ActHigh;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD44;ITGA3_ITGB1;ITGA9_ITGB1;ITGAV_ITGB8;ITGB5,COL4A2 - CD44;COL4A2 - ITGA3/ITGB1;COL4A2 - ITGA9/ITGB1;COL4A2 - ITGAV/ITGB8;COL4A2 - ITGB5,TRUE,137
NAMPT,0.5451358749904172,0.06269721192992458,0.012561277178605217,0.03230929551371329,Astrocytes,NAMPT,627,12506,228,NAMPT,4,0.323477201468019,0.23680392478498574,Vascular,Astrocyte,Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,INSR,NAMPT - INSR,TRUE,138
JAG2,0.5376694401133804,0.06071249232846681,0.010576557577147441,0.03219464445301302,Astrocytes,JAG2,627,12506,228,JAG2,8,0.78494616596265,0.3108712591780368,Vascular,Astrocyte,CapEC_ActMid;Cerebrovascular_Pericyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,NOTCH1;NOTCH2,JAG2 - NOTCH1;JAG2 - NOTCH2,TRUE,139
IL16,0.541940711853561,0.062386797631683553,0.012250862880364186,0.03205099063054852,Astrocytes,IL16,627,12506,228,IL16,8,0.615817646367182,0.19513800269276402,Microglia;Vascular,Astrocyte,Cerebrovascular_Venous;Micro_DAM;Micro_Homeostatic,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,GRIN2C;KCNJ10,IL16 - GRIN2C;IL16 - KCNJ10,TRUE,140
TNXB,0.5423909589154765,0.06265774042528241,0.012521805673963042,0.031863072672104,Astrocytes,TNXB,627,12506,228,TNXB,2,0.07483903991581009,0.06416732269598255,Vascular,Astrocyte,Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic,ITGA9_ITGB1,TNXB - ITGA9/ITGB1,TRUE,141
PSEN1,0.5508724132611484,0.06406487285072195,0.013928938099402578,0.031829817489867976,Astrocytes,PSEN1,627,12506,228,PSEN1,12,1.1829792126316605,0.272031863265116,Astrocyte;Vascular,Astrocyte,Astro_Intermediate;CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CD44;NOTCH2,PSEN1 - CD44;PSEN1 - NOTCH2,TRUE,142
