group,source,target,n_lr,mean_strength,median_strength,source_n,target_n,source_family
CN,Micro_Homeostatic,Oligodendrocytes,226,0.428691019971777,0.0,2998,64998,Microglia
CN,Cerebrovascular_SMC,Micro_DAM,272,0.427469249369023,0.0,285,8260,Vascular
CN,Excitatory,Oligodendrocytes,424,0.426670514112602,0.0,65392,64998,Neuron
CN,Inhibitory,Astro_Homeostatic,742,0.423233346239546,0.0,18751,10219,Neuron
CN,CapEC_ActLow,Micro_DAM,333,0.420998340067021,0.139937493469369,129,8260,Vascular
CN,Micro_DAM,Oligodendrocytes,221,0.42094189054804,0.0,8260,64998,Microglia
CN,CapEC_ActMid,Inhibitory,513,0.417691202015588,0.0,112,18751,Vascular
CN,Astro_Homeostatic,Excitatory,672,0.417557738337833,0.0,10219,65392,Astrocyte
CN,Inhibitory,Astro_Reactive,753,0.417413823876659,0.0,18751,1200,Neuron
CN,Excitatory,Micro_Homeostatic,457,0.415685850953918,0.0,65392,2998,Neuron
CN,Inhibitory,Astro_Intermediate,722,0.415639114764421,0.0,18751,5852,Neuron
CN,Cerebrovascular_Venous,Excitatory,709,0.40309872128511,0.0785436958996081,317,65392,Vascular
CN,Cerebrovascular_Pericyte,Excitatory,729,0.399008803417363,0.0087103233232141,449,65392,Vascular
CN,CapEC_ActLow,OPCs,395,0.398084167073123,0.0627788358270924,129,11259,Vascular
CN,Astro_Homeostatic,Inhibitory,639,0.397881951791263,0.0,10219,18751,Astrocyte
CN,Cerebrovascular_Venous,Inhibitory,673,0.396762641648867,0.034453208307025,317,18751,Vascular
CN,Astro_Intermediate,Cerebrovascular_Venous,718,0.393929537843471,0.0,5852,317,Astrocyte
CN,Cerebrovascular_Venous,Cerebrovascular_SMC,397,0.390745468701285,0.0098910360896546,317,285,Vascular
CN,Micro_DAM,Excitatory,348,0.389999483891633,0.0,8260,65392,Microglia
CN,Cerebrovascular_Pericyte,Inhibitory,694,0.384779016227058,0.0206083948948008,449,18751,Vascular
CN,Astro_Reactive,Cerebrovascular_SMC,400,0.381225949549957,0.0025408505069226,1200,285,Astrocyte
CN,Cerebrovascular_SMC,Oligodendrocytes,250,0.379494611469063,0.0,285,64998,Vascular
CN,Micro_DAM,Inhibitory,329,0.375189325810508,0.0,8260,18751,Microglia
CN,Cerebrovascular_Pericyte,Cerebrovascular_SMC,418,0.366967946765035,0.0,449,285,Vascular
CN,Inhibitory,Cerebrovascular_Pericyte,843,0.365510940980735,0.0,18751,449,Neuron
CN,Micro_Homeostatic,Excitatory,356,0.362187517482319,0.0,2998,65392,Microglia
CN,Excitatory,Micro_DAM,462,0.361099140619145,0.0,65392,8260,Neuron
CN,Astro_Intermediate,Oligodendrocytes,380,0.361063105095664,0.0,5852,64998,Astrocyte
CN,Inhibitory,Excitatory,716,0.358910697149102,0.0,18751,65392,Neuron
CN,Inhibitory,Inhibitory,687,0.354670350430439,0.0,18751,18751,Neuron
CN,CapEC_ActMid,Cerebrovascular_SMC,318,0.353611286387582,0.0,112,285,Vascular
CN,Micro_Homeostatic,Inhibitory,338,0.349767289072657,0.0,2998,18751,Microglia
CN,Astro_Intermediate,Excitatory,693,0.341658341859512,0.0,5852,65392,Astrocyte
CN,Inhibitory,Micro_Homeostatic,428,0.338963505505657,0.0,18751,2998,Neuron
CN,Astro_Intermediate,Inhibitory,657,0.337871317057235,0.0,5852,18751,Astrocyte
CN,Cerebrovascular_SMC,Cerebrovascular_Venous,471,0.329711000012982,0.0129638972172209,285,317,Vascular
CN,Inhibitory,Oligodendrocytes,399,0.322414023387992,0.0,18751,64998,Neuron
CN,Micro_DAM,Cerebrovascular_SMC,219,0.313266178354969,0.0,8260,285,Microglia
CN,Excitatory,Cerebrovascular_Venous,779,0.307457798867839,0.0,65392,317,Neuron
CN,OPCs,Cerebrovascular_SMC,372,0.304097254794882,0.0,11259,285,Oligo/OPC
CN,Oligodendrocytes,Cerebrovascular_SMC,228,0.300664135575279,0.0,64998,285,Oligo/OPC
CN,Micro_Homeostatic,Cerebrovascular_SMC,228,0.29951733373331,0.0,2998,285,Microglia
CN,Inhibitory,Micro_DAM,431,0.296262758418654,0.0,18751,8260,Neuron
CN,CapEC_ActLow,Cerebrovascular_Venous,482,0.296226700256645,0.0588256250364625,129,317,Vascular
CN,CapEC_ActLow,Oligodendrocytes,263,0.2937603328092,0.0,129,64998,Vascular
CN,Astro_Homeostatic,Cerebrovascular_SMC,383,0.292551577238012,0.0,10219,285,Astrocyte
CN,Cerebrovascular_SMC,Cerebrovascular_SMC,251,0.284368100384828,0.0,285,285,Vascular
CN,CapEC_ActLow,Excitatory,471,0.282181806068805,0.0,129,65392,Vascular
CN,Inhibitory,Cerebrovascular_Venous,736,0.265586527488273,0.0,18751,317,Neuron
CN,Cerebrovascular_SMC,Inhibitory,415,0.258522729405884,0.0,285,18751,Vascular
CN,CapEC_ActLow,Inhibitory,448,0.255774250890452,0.0,129,18751,Vascular
CN,Astro_Intermediate,Cerebrovascular_SMC,398,0.244566858992708,0.0,5852,285,Astrocyte
CN,Cerebrovascular_SMC,Excitatory,428,0.244449280109795,0.0,285,65392,Vascular
CN,CapEC_ActLow,Cerebrovascular_SMC,276,0.200956636710059,0.0,129,285,Vascular
CN,Excitatory,Cerebrovascular_SMC,429,0.187344334737522,0.0,65392,285,Neuron
CN,Inhibitory,Cerebrovascular_SMC,409,0.166978135404215,0.0,18751,285,Neuron
