dataset,donor_id,Cooks_distance,hat
DLPFC_Endothelial,H21.33.047,0.0005941736608827996,0.06635794308907085
DLPFC_VLMC,H19.33.004,0.01333959366357528,0.07876352249498858
DLPFC_VLMC,H20.33.001,0.04957360176380694,0.061571530887268876
DLPFC_VLMC,H20.33.002,0.0007583187968585288,0.11283468425256264
DLPFC_VLMC,H20.33.004,0.010984242577606083,0.06561663092588409
DLPFC_VLMC,H20.33.005,0.0040711601666442105,0.08614642916751439
DLPFC_VLMC,H20.33.008,0.005262739458247408,0.0666216990712909
DLPFC_VLMC,H20.33.011,0.005276129927867892,0.06483400773613202
DLPFC_VLMC,H20.33.012,1.355891489986833e-05,0.04816118229277045
DLPFC_VLMC,H20.33.013,0.0025637888813649316,0.07009332581216188
DLPFC_VLMC,H20.33.014,0.004443614933627631,0.06560317649208708
DLPFC_VLMC,H20.33.015,0.0003995083992321895,0.10508712459611971
DLPFC_VLMC,H20.33.016,0.000159843997848489,0.10676882679604749
DLPFC_VLMC,H20.33.017,0.02308471531097089,0.15231846869346158
DLPFC_VLMC,H20.33.018,0.00038860073685010384,0.08584940078178695
DLPFC_VLMC,H20.33.019,0.01327106256219354,0.12391608181786772
DLPFC_VLMC,H20.33.020,0.015088369781338276,0.15577474412077746
DLPFC_VLMC,H20.33.024,0.0005079468099897447,0.08229383768670215
DLPFC_VLMC,H20.33.025,6.0021055258788275e-05,0.07244258457796096
DLPFC_VLMC,H20.33.026,0.055961102870262285,0.17271668961488665
DLPFC_VLMC,H20.33.027,0.0013749740036842913,0.08074021576970432
DLPFC_VLMC,H20.33.028,3.718095789931319e-05,0.050448627090349474
DLPFC_VLMC,H20.33.029,0.001513912472565328,0.069496903523478
DLPFC_VLMC,H20.33.030,0.0010009354524965319,0.06299243163330973
DLPFC_VLMC,H20.33.031,0.021082360598772946,0.0648127037234908
DLPFC_VLMC,H20.33.032,0.00012079903402072994,0.07294109749309535
DLPFC_VLMC,H20.33.033,0.03193227522965846,0.15104375096214778
DLPFC_VLMC,H20.33.034,0.010238309391610557,0.26899901607448906
DLPFC_VLMC,H20.33.035,0.0005632576737348269,0.06467602742630048
DLPFC_VLMC,H20.33.036,0.0030244755688037827,0.11651049999145678
DLPFC_VLMC,H20.33.037,0.009121028079114567,0.09269359772501023
DLPFC_VLMC,H20.33.038,0.0020452429052521645,0.06730541064919868
DLPFC_VLMC,H20.33.039,0.01685444823116325,0.10430481821043687
DLPFC_VLMC,H20.33.040,0.003181189122892496,0.09710832523417365
DLPFC_VLMC,H20.33.041,0.01001690587759988,0.05096188727091702
DLPFC_VLMC,H20.33.044,0.0006905103827452522,0.12677472110615667
DLPFC_VLMC,H20.33.045,0.004412989943033184,0.16387413022182115
DLPFC_VLMC,H20.33.046,0.0008082128264721925,0.10758385242270294
DLPFC_VLMC,H21.33.001,0.013009341222664304,0.12732853243961473
DLPFC_VLMC,H21.33.002,0.007930743806271442,0.15421717387570172
DLPFC_VLMC,H21.33.003,0.0634540970238162,0.11259667012741925
DLPFC_VLMC,H21.33.004,0.010060748286434862,0.10886964770784022
DLPFC_VLMC,H21.33.005,0.006103050624495091,0.08721401110766405
DLPFC_VLMC,H21.33.006,0.01751347228020021,0.1265859281379946
DLPFC_VLMC,H21.33.007,0.005909295513283678,0.056259922959743004
DLPFC_VLMC,H21.33.008,0.003102331783754187,0.08927203613842193
DLPFC_VLMC,H21.33.011,0.0017539870797186978,0.0824027459923589
DLPFC_VLMC,H21.33.012,0.03316942635327132,0.13498291809183885
DLPFC_VLMC,H21.33.013,0.0009600013752188302,0.07096568562965898
DLPFC_VLMC,H21.33.014,0.003227925324735366,0.09695526959335343
DLPFC_VLMC,H21.33.015,0.0006125548370415607,0.08734457805213154
DLPFC_VLMC,H21.33.016,0.0017647101718979844,0.056910960283765216
DLPFC_VLMC,H21.33.017,0.005832519157958212,0.08427905359374542
DLPFC_VLMC,H21.33.018,0.004459817432314482,0.10691641437264716
DLPFC_VLMC,H21.33.019,0.0556816754047887,0.14227846756156592
DLPFC_VLMC,H21.33.020,0.009622547992855444,0.24819864834858718
DLPFC_VLMC,H21.33.021,6.963214618396218e-05,0.09728919983099751
DLPFC_VLMC,H21.33.022,0.1724278993078283,0.07205753540066408
DLPFC_VLMC,H21.33.023,0.006949103833509035,0.09403508845910508
DLPFC_VLMC,H21.33.025,0.004845846473768713,0.06108753073104866
DLPFC_VLMC,H21.33.026,0.001231435377518645,0.07394943884375316
DLPFC_VLMC,H21.33.027,1.7711235953971026e-06,0.07198680289938952
DLPFC_VLMC,H21.33.028,0.0614866856102752,0.1472905686692631
DLPFC_VLMC,H21.33.029,0.04118739955451226,0.15225475829935706
DLPFC_VLMC,H21.33.030,0.00013052034180431683,0.08223099293702435
DLPFC_VLMC,H21.33.031,0.007758027930228285,0.06926645589392423
DLPFC_VLMC,H21.33.032,0.00043764531370298385,0.05853115264884776
DLPFC_VLMC,H21.33.033,0.04008488469498067,0.13522993936985325
DLPFC_VLMC,H21.33.034,0.1520152119913114,0.26002035755999325
DLPFC_VLMC,H21.33.035,0.015392225881216881,0.055840190923322104
DLPFC_VLMC,H21.33.036,0.00023927710761330976,0.07940442118478891
DLPFC_VLMC,H21.33.037,0.02154188765207529,0.11201199055189619
DLPFC_VLMC,H21.33.038,0.06952161983532838,0.11029828329774821
DLPFC_VLMC,H21.33.040,0.0015921630777294138,0.09833391282957761
DLPFC_VLMC,H21.33.041,0.0004398672665743853,0.0906577213106003
