"Nhood","UMAP1","UMAP2","Size","logFC","PValue","SpatialFDR","SigCat","Direction","Subtype","SubtypePurity"
193,14.608484919419,-6.80905925169194,65,-0.120589222819524,0.762885372077851,0.945416227973778,"NS","NS","Venous",1
194,-10.7935424650211,-0.164677539792468,24,1.0896099091197,0.0189464063474038,0.136684788649128,"NS","NS","Pericyte",0.958333333333333
195,0.993074499120387,-7.49194415666343,40,-0.484239694294847,0.256924207243532,0.760759996476637,"NS","NS","Pericyte",1
196,-12.152327693474,-0.198244290864408,69,0.400673544135738,0.337482027718642,0.831348721464687,"NS","NS","Pericyte",1
197,1.34468861647183,-4.28010924804797,44,-0.579425051738186,0.158106202365366,0.638749057556079,"NS","NS","Pericyte",1
198,-6.05373364884495,4.2885863477222,39,0.432876141014747,0.307736097634222,0.831348721464687,"NS","NS","Capillary",1
199,11.139306193967,-5.28915057855043,41,0.103879349329109,0.856935590952257,0.968055723352165,"NS","NS","Pericyte",0.951219512195122
200,14.456099193354,-8.14590051077767,53,0.182346624077477,0.684889153733742,0.9233569293266,"NS","NS","Venous",1
201,-9.48260559020764,2.95886678174786,45,0.305351016185916,0.47735693434557,0.862601273379847,"NS","NS","Capillary",1
202,-12.2122147617571,-1.35929411486247,54,0.354859478465377,0.389577705393189,0.861410911511745,"NS","NS","Pericyte",1
