"sample_id","group","RHBDF2","SLC38A11","PDGFRB","PTH1R","DGKB","GPC5","RNF152","GRM8","SLC6A12","INPP4B","CPM","CNTN4","GJC1","PDE7B","PLCE1","GRM3","COL4A3","CACNA1C"
"GSM3895961","CN",6.896810565,7.15982006,8.959385323,7.220179256,7.63826580466667,9.368629262,6.191855719,7.477559155,8.039450504,7.316750335,6.28204160425,6.432989589,9.7945699415,8.602581749,7.036319728,10.314858018,6.3475495015,6.66059503683333
"GSM3895962","CN",7.34663128225,7.240757388,9.618336983,7.533291773,7.36440425266667,9.107554056,6.264020293,7.2697721865,8.880503449,7.072621314,6.2819868765,6.2105165825,9.9089539485,8.584264925,7.15329129,9.8779349125,6.385504082,6.65134455833333
"GSM3895963","CN",7.79078018425,7.221823726,9.679101405,7.71786215,7.265759794,9.032806453,6.229155253,6.913902542,9.123069665,6.782080908,6.2750947655,6.199839615,9.8571712785,8.916806601,7.044089989,9.467933102,6.5245868995,6.593908184
"GSM3895964","CN",7.45461430225,6.989197638,9.790107241,7.595417186,6.97911382733333,9.199950117,6.225621632,6.9626425675,9.125975561,6.450449136,6.2694462075,6.2013637255,9.901914718,8.75088487,6.957134566,10.822482372,6.5137629085,6.52864589
"GSM3895965","CN",7.106228292,6.931034749,9.307714822,7.2479321635,7.167694398,9.682883143,6.189027209,7.2674733445,8.490391323,6.988880847,6.290567527,6.225677951,9.805335805,8.552433372,7.064577262,10.2897265715,6.369839413,6.5849161605
"GSM3895966","CN",7.31834170675,7.026786137,9.235414954,7.5602536305,7.25158902966667,9.494393528,6.161808776,7.120852508,8.466116361,6.980061522,6.25616167925,6.235508398,9.847239257,8.982538748,7.223504723,9.814611167,6.4024722045,6.6216427245
"GSM3895967","CN",7.149043081,6.915080251,9.5385112,7.417435762,7.09819814166667,9.515246319,6.173325328,7.1517256745,8.636906224,6.615707916,6.251738376,6.2066503395,9.7758199735,8.791529665,7.38654849,10.465918469,6.468495423,6.47894009583333
"GSM3895968","CN",7.0888467995,6.814060361,9.048800061,7.259094696,7.10219008066667,9.348169538,6.2212047,7.1973601885,8.333971202,6.760224976,6.285677897,6.2162438785,9.8316454175,8.783150036,7.617622286,10.2270516395,6.380073918,6.6023679265
"GSM3895969","CN",7.20381882175,7.234773555,9.331226904,7.484166857,7.235678899,9.107554056,6.123230129,7.1799156195,8.287098368,7.029383319,6.2572626325,6.349803019,9.798133568,8.923393304,7.040844365,9.6161704985,6.3979431745,6.6157314735
"GSM3895970","CN",6.75950985475,6.746669465,8.136272824,6.8478597595,7.59339741233333,9.106478551,6.252108893,7.385545899,7.641585693,7.215630839,6.18757793325,6.439864908,9.6793552965,8.5935714,6.57272893,9.801196768,6.223043092,6.753467842
"GSM3895971","CN",6.739326889,6.723510782,8.799155694,7.193872946,7.27011230866667,9.238340954,6.240705629,7.405048153,8.462309457,7.366337741,6.33769621675,6.277765695,9.718453903,8.921080343,6.865832023,9.518122114,6.343885966,6.70948950466667
"GSM3895972","CN",7.31241731425,7.516389631,9.000078655,7.4746741325,7.54312777466667,9.080888737,6.229439218,7.195192113,8.084325284,7.164892911,6.15367541575,6.39163368,10.0401646525,8.62768016,7.43449712,10.0454838255,6.1939388995,6.759752456
"GSM3895973","CN",8.39110451275,8.174543002,11.06577535,9.046203041,6.603188434,9.535298198,6.216596995,6.7278118745,10.30981275,7.001488036,6.50599065525,6.158985849,9.984906676,9.227755876,7.877909421,10.301099365,6.5308854525,6.4339976405
"GSM3895974","CN",7.20925189375,7.630158979,9.319128321,7.777777872,7.56033892233333,8.406264032,6.294833674,7.2955692615,7.809561128,7.452110686,6.268666052,6.491667002,9.8590003335,8.716000189,7.157212173,9.801852258,6.2362283185,6.74456381166667
"GSM3895975","CN",6.9618486695,7.430616957,9.114571169,7.5009576185,7.537577948,8.953719308,6.148981856,7.2975300555,8.140281595,7.447532726,6.2937128065,6.4862961335,10.025382629,8.417564829,7.240607719,10.18504222,6.301623025,6.68057240416667
"GSM3895976","CN",7.26043266625,7.468275144,9.434465131,7.3911212415,7.57181426066667,9.301901179,6.315146813,7.327486891,8.463011934,7.138198524,6.32594052325,6.37876806,10.016536323,8.752152803,7.331701426,10.335730992,6.3402932325,6.740001672
"GSM3895977","CN",7.4242213465,7.749717621,9.494393528,7.5113838505,7.50571983533333,8.735622721,6.217326266,7.1680129035,8.646748217,7.22525433,6.3073990265,6.365233745,9.9986134745,8.448329777,6.971221458,10.1400871895,6.318409883,6.63632383983333
"GSM3895978","CN",6.8487194175,7.574979327,9.138617586,7.4096578165,7.38990701833333,8.617836192,6.282025426,7.4769415335,8.339817535,7.54725381,6.28670158675,6.4626092205,9.917437008,8.658100184,7.169957002,10.186490112,6.347555955,6.67255422983333
"GSM3895979","CN",7.44184505425,7.210397269,9.193203038,7.7838072045,7.47097737333333,9.051549944,6.208375182,7.1710808995,8.242790474,7.199711517,6.30754431325,6.3755000205,9.842921981,8.643314221,7.501841719,9.6172260655,6.2049690305,6.718517483
"GSM3895980","CN",7.3075844725,7.438145742,9.32499361,7.485034463,7.448522319,9.149077042,6.275443553,7.3552033235,8.315913001,7.314180925,6.3132013145,6.416817635,9.982780789,8.724230451,7.337629147,10.269453213,6.3365865665,6.62235474916667
