ligand_clean,ligand,n_lr_edges,max_delta_AD_vs_CN,mean_delta_AD_vs_CN,source_families,source_cellstates,target_cellstates,lr_pair_examples,aupr,AUPR_rank,input_top20,displayed_Fig8A
NRG2,NRG2,5,1.0626706194131,0.82359236982771,Astrocyte,Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,NRG2 - NRP2,0.0334069781114312,75,False,False
WNT2B,WNT2B,26,1.0599305635922331,0.2441421613835732,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,WNT2B - FZD1/LRP5;WNT2B - FZD1/LRP6;WNT2B - FZD3/LRP5;WNT2B - FZD3/LRP6;WNT2B - FZD4/LRP5,0.0303244761915462,167,False,False
CD14,CD14,11,1.05720230822088,0.3512550389699644,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CD14 - ITGB1;CD14 - RIPK1,0.0351470241045142,33,False,False
ADAM12,ADAM12,10,1.05115714425366,0.4337472051734578,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ADAM12 - ITGA9;ADAM12 - ITGB1;ADAM12 - SDC4,0.0336274884801058,63,False,False
EFNB2,EFNB2,32,1.0327128925199205,0.238354956197427,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EFNB2 - EPHA3;EFNB2 - EPHA4;EFNB2 - EPHB4;EFNB2 - PECAM1,0.0334864546275512,70,False,False
LTBP1,LTBP1,5,1.03175686178421,0.3188153784604116,Astrocyte,Astro_Homeostatic;Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LTBP1 - ITGB5,0.0343953416831214,49,False,False
AGT,AGT,1,1.0120423352387895,1.0120423352387895,Astrocyte,Astro_Intermediate,Cerebrovascular_Pericyte,AGT - ENPEP,0.0351981088982407,32,False,False
CALM1,CALM1,14,1.00495491393502,0.2097487749268433,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,CALM1 - CACNA1C;CALM1 - INSR;CALM1 - TRPC3,0.0322263568126348,116,False,False
COL5A1,COL5A1,15,0.99618879724783,0.390882971089778,Astrocyte,Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL5A1 - ITGA1/ITGB1;COL5A1 - ITGA10/ITGB1;COL5A1 - ITGA11/ITGB1;COL5A1 - ITGA2/ITGB1,0.0344567994560069,46,False,False
ADAM23,ADAM23,9,0.9802360520451104,0.6619629402358291,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;Cerebrovascular_Pericyte;Cerebrovascular_Venous,ADAM23 - ITGA5,0.0327749850797365,92,False,False
VEGFD,VEGFD,32,0.958486547301185,0.3882960683682013,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,VEGFD - FLT1;VEGFD - FLT4/KDR;VEGFD - ITGA1;VEGFD - ITGA2;VEGFD - ITGA4,0.0355082412052105,27,False,False
LAMA5,LAMA5,49,0.9196101672510502,0.2680600140152441,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,LAMA5 - BCAM;LAMA5 - CD44;LAMA5 - DAG1;LAMA5 - ITGA2/ITGB1;LAMA5 - ITGA3/ITGB1,0.0345028986841301,43,False,False
MFNG,MFNG,6,0.916177118103127,0.6945533787272125,Microglia,Micro_DAM,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,MFNG - NOTCH1;MFNG - NOTCH2,0.0292345105937722,179,False,False
CALR,CALR,22,0.908971921073852,0.2399409168315523,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,CALR - ITGA3;CALR - ITGAV;CALR - LRP1;CALR - SCARF1,0.0300477566472429,173,False,False
ALCAM,ALCAM,6,0.9044255112958696,0.4985602167763875,Microglia,Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid,ALCAM - NRP1,0.031443762643045,137,False,False
EGF,EGF,26,0.874907023146111,0.3078184550796899,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,EGF - AXL;EGF - CAV1;EGF - EGFR/ERBB2;EGF - LDLR;EGF - NRP1,0.0510294134567569,1,True,True
COL18A1,COL18A1,17,0.8737483430052639,0.3097700336483204,Astrocyte;Microglia,Astro_Homeostatic;Astro_Intermediate;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL18A1 - ITGA1/ITGB1;COL18A1 - ITGA10/ITGB1;COL18A1 - ITGA5;COL18A1 - KDR,0.0339183718302955,57,False,False
PTN,PTN,27,0.869111420851921,0.3728860380613745,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,PTN - NCL;PTN - PLXNB2;PTN - PTPRB;PTN - PTPRZ1;PTN - SDC2,0.0345337760370533,42,False,False
C3,C3,26,0.837156617672926,0.2689899529147105,Astrocyte;Microglia,Astro_Intermediate;Astro_Reactive;Micro_DAM;Micro_Homeostatic,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,C3 - CD46;C3 - CD81;C3 - GRM7;C3 - LRP1;C3 - NRP1,0.032729019906955,95,False,False
MEGF10,MEGF10,9,0.8293778334040798,0.2169088820892546,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,MEGF10 - ABCA1,0.0288081180763845,180,False,False
COL4A5,COL4A5,14,0.8245301162397098,0.2794074969988923,Astrocyte,Astro_Homeostatic;Astro_Intermediate;Astro_Reactive,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte;Cerebrovascular_Venous,COL4A5 - CD93;COL4A5 - ITGA1/ITGB1;COL4A5 - ITGA10/ITGB1;COL4A5 - ITGA11/ITGB1;COL4A5 - ITGA2/ITGB1,0.0334545086670372,72,False,False
BCAN,BCAN,4,0.8081961251573202,0.6318771724284176,Astrocyte,Astro_Intermediate,CapEC_ActHigh;CapEC_ActLow;CapEC_ActMid;Cerebrovascular_Pericyte,BCAN - EGFR,0.0345447453217399,41,False,False
